date,sku,stock,reserved,sales,country,price_de,price_ae,price_at,price_be,price_bg,price_ca,price_ch,price_cl,price_cy,price_cz,price_dk,price_gp,price_ee,price_es,price_fi,price_fr,price_gr,price_hr,price_hu,price_il,price_is,price_it,price_kr,price_lt,price_lu,price_lv,price_mc,price_mt,price_nl,price_no,price_pl,price_pt,price_ro,price_se,price_si,price_sk,price_tr,sale_de,sale_ae,sale_at,sale_be,sale_bg,sale_ca,sale_ch,sale_cl,sale_cy,sale_cz,sale_dk,sale_gp,sale_ee,sale_es,sale_fi,sale_fr,sale_gr,sale_hr,sale_hu,sale_il,sale_is,sale_it,sale_kr,sale_lt,sale_lu,sale_lv,sale_mc,sale_mt,sale_nl,sale_no,sale_pl,sale_pt,sale_ro,sale_se,sale_si,sale_sk,sale_tr
2021-09-09,A0000003,137,48,10,NL,24.9500007629395,,,,,,,,,,,,,24.9500007629395,,27.9500007629395,,,,,,26.9500007629395,,,,,,,24.9500007629395,,,,,,,,,2,,,,,,,,,,,,,1,,4,,,,,,1,,,,,,,1,,,,,,,,
2021-09-09,A0000004,146,24,14,IT,21.2199993133545,,21.3999996185303,,,,,,,,,,,,,27.9500007629395,,,,,,26.9500007629395,,,,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,
2021-09-09,A0000005,4,8,3,FR,24.9500007629395,,,,,,,,,,,,,,,27.9500007629395,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2021-09-10,A0000001,,,8,IT,33.9000015258789,,34.189998626709,,,,,,,,,,,,,36.6200008392334,,,,,,34.9500007629395,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,
2021-09-10,A0000002,,,2,FR,,,,,,,,,,,,,,,,27.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-10,A0000003,,,7,FR,24.9500007629395,,,,,,,,,,,,,20.6200008392334,,27.9500007629395,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,
2021-09-10,A0000004,,,12,IT,21.2199993133545,,21.3999996185303,,,,,,,,,,,22.7850008010864,,27.9500007629395,,,,,,26.9500007629395,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,2,,1,,,,,,1,,,,,,,,,,,,,,,
2021-09-10,A0000005,,,4,IT,24.9500007629395,,,,,,,,,,,,,,,,,,,,,26.2900009155273,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-11,A0000001,,,6,ES,33.9000015258789,,,,,,,,,,,,,31.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2021-09-11,A0000002,,,6,IT,24.9500007629395,,25.1599998474121,,,,,,,,,,,24.9500007629395,,27.9500007629395,,,,,,26.9500007629395,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,
