date,sku,stock,reserved,sales,country,price_de,price_ae,price_at,price_be,price_bg,price_ca,price_ch,price_cl,price_cy,price_cz,price_dk,price_gp,price_ee,price_es,price_fi,price_fr,price_gr,price_hr,price_hu,price_il,price_is,price_it,price_kr,price_lt,price_lu,price_lv,price_mc,price_mt,price_nl,price_no,price_pl,price_pt,price_ro,price_se,price_si,price_sk,price_tr,sale_de,sale_ae,sale_at,sale_be,sale_bg,sale_ca,sale_ch,sale_cl,sale_cy,sale_cz,sale_dk,sale_gp,sale_ee,sale_es,sale_fi,sale_fr,sale_gr,sale_hr,sale_hu,sale_il,sale_is,sale_it,sale_kr,sale_lt,sale_lu,sale_lv,sale_mc,sale_mt,sale_nl,sale_no,sale_pl,sale_pt,sale_ro,sale_se,sale_si,sale_sk,sale_tr
2021-09-20,B0000010,,,10,SE,29.5900001525879,,29.8400001525879,,,,24.8700008392334,,,,,,,,,34.4799995422363,,,,,,,,,,,,,,,,,,323.309997558594,,,,5,,2,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,
2021-09-20,B0000001,,,34,SE,25.9500007629395,,,,,,,,,26.3899993896484,,,,24.9500007629395,,27.2500003814697,,,,,,28.75,,,,,,,,,,,,276.25,,,,22,,,,,,,,,1,,,,2,,5,,,,,,3,,,,,,,,,,,,1,,,
2021-09-20,B0000002,,,12,NL,33.9500007629395,,28.5300006866455,,,,,,,,,,,,,,,,,,,,,,,,,,33.9500007629395,,,,,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2021-09-20,B0000009,,,1,DE,48.4900016784668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-21,B0000010,14,107,11,NL,29.5900001525879,,29.8400001525879,,,,,,,,,,,,,34.4799995422363,,,,,,,,,29.1000003814697,,,,30.6700000762939,,,,,,,,,2,,5,,,,,,,,,,,,,2,,,,,,,,,1,,,,1,,,,,,,,
2021-09-21,B0000001,364,133,24,IT,25.6912506818771,,,,,,,,,,,,,24.9500007629395,,28.1900005340576,,,,,,28.75,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,4,,2,,,,,,1,,,,,,,,,,,,,,,
2021-09-21,B0000002,66,35,8,DE,33.9500007629395,,31.3850011825562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-21,B0000009,78,15,2,IT,,,,,,,,,,,,,,47.0800018310547,,,,,,,,37.9500007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
2021-09-22,B0000010,56,53,16,IT,29.5900001525879,,29.8400001525879,,,,,,,,,,,31.6399993896484,,34.4799995422363,,,,,,34.5200004577637,,,,,,,,,,,,,,,,9,,2,,,,,,,,,,,1,,1,,,,,,3,,,,,,,,,,,,,,,
2021-09-22,B0000001,396,74,23,IT,25.9500007629395,,,,,,,,,,,,,24.9500007629395,,27.0150003433228,,,,,,28.75,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,1,,4,,,,,,1,,,,,,,,,,,,,,,
